id,sku,prodcut_name,short_description,price,list_price,is_authentic,is_freeship_xtra,is_hero,discount,discount_rate,rating_average,review_count,favourite_count,inventory_status,sold_count,category_id,category_name,brand_id,brand_name,battery_capacity,brand_country,cpu_speed,ram,has_5g,sim_slot,product_weight,rom,number_options,warranty_time,warranty_type,warranty_place,return_policy
273559020,7947353971950,Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng chính hãng,Máy tính bảng Kindle Fire 13th – Cho Từng Trải Nghiệm Hoàn HảoMáy tính bảng Kindle Fire HD 13th là bản nâng cấp nhẹ của phiên bản năm Kindle Fire 2021 (thế hệ 11) với khá nhiều điểm nổi trội.Thiết k...,3590000,3590000,True,True,False,0,0,0.0,0,0,available,3.0,1794,Máy tính bảng,147856,Kindle,Up to 13 hours,Mỹ,Octa-core processor - 2x Arm Cortex-A76 up to 2.05 Ghz and 6x Arm Cortex A55 up to 2Ghz,3GB,Không,NULL,NULL,NULL,3.0,12 Tháng,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
125182567,4604296397887,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,4090000,4590000,True,True,False,500000,11,5.0,396,0,available,1518.0,28856,Máy đọc sách,147856,Kindle,NULL,NULL,NULL,NULL,Không,NULL,205g,NULL,3.0,12 Tháng,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
273559306,7948776540125,Máy tính bảng Kindle Fire Max 11 inch - 13th - 2023 - Ram 4Gb - Hàng chính hãng,"Kindle Fire Max 11 – Tinh hoa hội tụKindle Fire Max 11 – Một thế hệ máy tính mới của Amazon vừa ra mắt vào tháng 6 năm 2023. Với màn hình lớn nhất và cấu hình mạnh nhất từ ​​trước đến nay, đây là một...",5150000,5590000,True,True,False,440000,8,0.0,0,0,available,1.0,1794,Máy tính bảng,147856,Kindle,"Thời lượng pin cà ngày - Lên đến 14 giờ đọc, duyêt web, xem video và nghe nhạc",Mỹ, Bộ xử lý Octa-core - 2x Arm Cortex-A78 lên đến 2.2Ghz và 6xArm Cortex A55 lên đến 2Ghz,4 GB,KHÔNG,NULL,490 grams,NULL,,12 Tháng,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
217640502,8360230896751,Máy đọc sách Kindle Scribe - Hàng chính hãng,"Đọc và viết tự nhiên như khi làm trên giấyVới màn hình E-ink 10,2 inch, độ phân giải 300 ppi chống lóa. Kindle Scribe hoàn hảo để đọc và viết, ngay cả dưới ánh sáng mặt trời. Màn hình lớn cung cấp ch...",12590000,12990000,True,True,True,400000,3,0.0,0,0,available,6.0,28856,Máy đọc sách,147856,Kindle,NULL,Mỹ,NULL,NULL,Không,NULL,433g,NULL,1.0,12 Tháng,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
217706932,8671886696124,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,4090000,4490000,True,True,False,400000,9,5.0,127,0,available,486.0,1789,Điện Thoại - Máy Tính Bảng,147856,Kindle,NULL,Mỹ,NULL,NULL,Không,NULL,205g,NULL,6.0,12 Tháng,Hóa đơn,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
273252926,8029011002543,Điện Thoại Oppo A18 (4GB/128GB) - Hàng Chính Hãng,"Thiết kế trẻ trung, chuyển màu huyền ảoMặc dù có mức giá phải chăng nhưng OPPO A18 đã được nhà sản xuất tạo hình cực kỳ trẻ trung hiện đại. Mặt lưng và khung viền của điện thoại được thiết kế vát phẳ...",3250000,3990000,True,False,True,740000,19,5.0,23,0,available,10192.0,1795,Điện thoại Smartphone,25643,OPPO, 5000 mAh,Trung Quốc,2 nhân 2.0 GHz &amp; 6 nhân 1.8 GHz,4GB,Không,2,NULL,128GB,2.0,12 Tháng,Điện tử,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
270975124,7692669431564,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng ,"OPPO A58 - chiếc điện thoại kế nhiệm nhà OPPO dự kiến sẽ có những thiết kế nổi bật ngoài sự mong đợi. Điện thoại sở hữu cấu hình ấn tượng với chip Dimensity 700 và khả năng đa nhiệm của RAM 8G, bộ nhớ...",4090000,4990000,True,False,True,900000,18,5.0,53,0,available,5717.0,1795,Điện thoại Smartphone,25643,OPPO,5000 mAh,NULL,2.0 GHz,6 GB,Không,2 sim,192 g,128 GB,2.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
184059211,3643515408223,Apple iPhone 13,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,13490000,24990000,True,False,True,11500000,46,5.0,1942,0,available,7310.0,1795,Điện thoại Smartphone,17827,Apple,3240 mAh,Mỹ,3.22 GHz,4 GB,Có,NULL,173 g,128GB,5.0,12 Tháng,Hóa đơn,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274037365,6487192344365,Điện Thoại POCO C65 (8GB/256GB) - Hàng Chính Hãng,"Công nghệ, thời thượng, siêu trải nghiệmXiaomi POCO C65 đang là điểm nhấn công nghệ được nhiều người dùng quan tâm trong thời gian gần đây. Với hàng loạt sự nổi bật về thiết kế, cấu hình cũng như hiệ...",2990000,3590000,True,False,True,600000,17,4.8,64,0,available,10642.0,1795,Điện thoại Smartphone,406575,POCO,5000 mAh,Trung Quốc,Arm Cortex-A75 @ 2.0GHz/  Arm Cortex-A55 @ 1.8GHz,8GB,Không,2,NULL,256GB,3.0,18 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
271973414,7601310945460,Apple iPhone 15 Pro Max,"Nội dung quảng cáoGiờ đây với thiết kế titan nhẹ và bền chắc, cùng chip A17 Pro cho khả năng đa nhiệm khủng. Bắt trọn những khoảnh khắc đặc biệt khi đang di chuyển với hệ thống camera chuyên nghiệp l...",28490000,33490000,True,False,True,5000000,15,5.0,219,0,available,3258.0,1795,Điện thoại Smartphone,17827,Apple,4422 mAh,Mỹ,3.78 GHz,8 GB,Có,NULL,221 g,1 TB,4.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
